City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,reggane,26.7158,0.1714,90.23,16,9,10.56,DZ,1687925229
84,quellon,-43.1167,-73.6167,43.05,93,0,2.3,CL,1687925229
85,brookings,44.3114,-96.7984,70.18,73,75,11.5,US,1687925229
86,yokadouma,3.5167,15.05,68.25,100,100,1.41,CM,1687925230
87,kiama,-34.6833,150.8667,55.0,82,100,3.0,AU,1687925143
88,ta`u,-14.2336,-169.5144,81.84,74,61,11.65,AS,1687925231
89,reserva,-24.6503,-50.8506,51.08,97,0,1.79,BR,1687925231
90,invercargill,-46.4,168.35,50.76,95,100,3.56,NZ,1687925231
91,dapa,9.7594,126.0531,85.78,65,73,1.39,PH,1687925232
92,troitsko-pechorsk,62.7084,56.1964,60.28,74,48,8.05,RU,1687925232
93,naze,28.3667,129.4833,79.75,75,100,8.66,JP,1687925233
94,pacific grove,36.6177,-121.9166,59.23,88,100,7.0,US,1687925233
95,nova sintra,14.8667,-24.7167,69.51,81,16,14.52,CV,1687925233
96,hadzici,43.8222,18.2067,56.53,100,100,5.75,BA,1687925040
97,miyaly,48.8844,53.7836,72.19,37,97,9.01,KZ,1687925234
98,pisco,-13.7,-76.2167,62.02,82,0,3.44,PE,1687925234
99,yarega,63.4354,53.5765,52.68,89,90,7.87,RU,1687925235
100,sao joao da barra,-21.6403,-41.0511,70.39,89,0,14.61,BR,1687925235
101,santa ana,33.7456,-117.8678,73.62,77,0,6.91,US,1687924995
102,mansa,29.9833,75.3833,92.79,51,87,8.48,IN,1687925235
103,antonio enes,-16.2325,39.9086,66.87,75,6,3.87,MZ,1687925236
104,yenifakili,39.2114,35.0004,62.19,79,0,4.12,TR,1687925236
105,south hedland,-20.4089,118.5983,67.93,28,0,19.57,AU,1687925237
106,belmar,40.1785,-74.0218,70.11,91,78,6.51,US,1687925237
107,ugoofaaru,5.6667,73.0,82.87,75,82,10.8,MV,1687925237
108,puerto baquerizo moreno,-0.9,-89.6,76.51,83,94,9.93,EC,1687925238
109,vila velha,-20.3297,-40.2925,68.95,94,20,2.3,BR,1687925238
110,tanout,14.9709,8.8879,87.96,36,88,9.51,NE,1687925238
111,kone,-21.0595,164.8658,74.12,49,5,8.79,NC,1687925239
112,punta del este,-34.9667,-54.95,55.51,81,0,14.97,UY,1687925145
113,iguatemi,-23.6803,-54.5611,63.16,80,0,5.03,BR,1687925239
114,hammerfest,70.6634,23.6821,50.45,87,20,9.22,NO,1687925240
115,yumbe,3.4651,31.2469,63.52,94,44,0.2,UG,1687925240
116,bubaque,11.2833,-15.8333,80.11,79,97,6.53,GW,1687925241
117,'ain el hadjar,34.7585,0.1453,73.38,29,0,5.03,DZ,1687925241
118,kayangel,8.0823,134.7173,83.97,72,93,6.4,PW,1687925241
119,la sarre,48.8002,-79.1996,48.67,64,100,10.45,CA,1687925242
120,sungai raya,0.7,108.9,88.75,60,40,8.55,ID,1687925242
121,qusmuryn,52.4503,64.6311,64.2,52,22,11.12,KZ,1687925243
122,bamboo flat,11.7,92.7167,85.32,75,100,10.51,IN,1687925243
123,port lincoln,-34.7333,135.8667,57.54,68,38,14.34,AU,1687925243
124,malango,-2.9627,119.9001,78.42,80,21,3.06,ID,1687925244
125,tamanrasset,22.785,5.5228,76.91,15,0,4.61,DZ,1687925244
126,sao miguel do araguaia,-13.275,-50.1628,70.9,45,0,5.21,BR,1687924835
127,cabo san lucas,22.8909,-109.9124,88.9,66,0,5.01,MX,1687925223
128,kapa'a,22.0752,-159.319,82.38,80,75,14.97,US,1687925187
129,acarau,-2.8856,-40.12,75.42,86,11,9.64,BR,1687925246
130,menongue,-14.6585,17.691,46.08,47,2,3.2,AO,1687925246
131,umm kaddadah,13.6017,26.6876,83.46,51,41,8.72,SD,1687925247
132,farah,32.5,62.5,84.87,13,0,6.2,AF,1687925248
133,praia da vitoria,38.7333,-27.0667,69.76,87,69,12.68,PT,1687925248
134,vangaindrano,-23.35,47.6,60.46,90,5,4.68,MG,1687925248
135,songjiang,31.036,121.2146,93.16,57,65,8.86,CN,1687925249
136,azovo,54.6997,73.0237,55.15,94,100,16.89,RU,1687925249
137,atafu village,-8.5421,-172.5159,83.95,75,8,15.21,TK,1687925250
138,lepsy,46.235,78.9456,78.69,23,77,19.06,KZ,1687925250
139,talnakh,69.4865,88.3972,57.18,54,100,6.33,RU,1687925251
140,al bardiyah,31.7561,25.0865,73.09,90,0,10.74,LY,1687925251
141,amga,60.8953,131.9608,84.16,49,48,5.57,RU,1687925251
142,stuttgart,48.7823,9.177,63.5,68,0,2.3,DE,1687925252
143,port mathurin,-19.6833,63.4167,73.29,59,59,6.4,MU,1687925252
144,alpena,45.0617,-83.4327,60.12,77,100,3.44,US,1687925253
145,jayapura,-2.5333,140.7,92.59,65,75,7.94,ID,1687925253
146,isafjordur,66.0755,-23.124,45.72,97,100,19.48,IS,1687925253
147,dayr hafir,36.1569,37.7078,73.62,71,0,14.23,SY,1687925254
148,tura,25.5198,90.2201,75.81,94,100,6.73,IN,1687925254
149,port augusta,-32.5,137.7667,59.72,58,44,13.91,AU,1687925255
150,dolores,-36.3132,-57.6792,46.06,87,47,7.99,AR,1687925255
151,soria,41.6667,-2.6667,59.86,100,87,3.27,ES,1687925255
152,callao,-12.0667,-77.15,70.09,73,100,9.22,PE,1687925256
153,belmonte,-15.8631,-38.8828,70.83,87,4,4.43,BR,1687925256
154,lazaro cardenas,17.9583,-102.2,81.97,81,72,3.29,MX,1687925256
155,laguna,38.421,-121.4238,76.6,61,0,9.22,US,1687925111
156,alofi,-19.0595,-169.9187,80.49,83,40,10.36,NU,1687924895
157,petropavlovsk-kamchatsky,53.0452,158.6483,63.19,77,75,11.18,RU,1687925257
158,chinde,26.8418,88.0763,68.7,88,100,6.02,NP,1687925258
159,pizarro,4.9533,-77.366,78.73,89,100,4.21,CO,1687925258
160,phillip island,-38.4835,145.231,51.48,92,100,19.86,AU,1687925259
161,hotan,37.0997,79.9269,91.45,14,81,13.31,CN,1687925259
162,bilibino,68.0546,166.4372,54.63,51,89,16.24,RU,1687925259
163,ellsworth,44.5434,-68.4195,64.94,98,100,6.91,US,1687925023
164,san antonio de pale,-1.4014,5.6325,75.78,83,61,17.31,GQ,1687925260
165,solnechnyy,50.7214,136.6319,83.44,36,6,6.6,RU,1687925260
166,pasighat,28.0667,95.3333,76.19,99,100,3.83,IN,1687925261
167,margate,51.3813,1.3862,63.9,83,99,3.0,GB,1687924989
168,salahonda,2.1019,-78.7217,79.74,85,65,6.96,CO,1687925261
169,polyarnyy,69.1989,33.4478,51.96,79,92,4.16,RU,1687925262
170,sitka,57.0531,-135.33,58.89,88,100,3.44,US,1687925262
171,ilulissat,69.2167,-51.1,41.02,81,100,0.0,GL,1687925262
172,taoudenni,22.6783,-3.9836,92.12,27,31,3.31,ML,1687925263
